Sample no.;Ca_P_ratio_r;pH;Ca_P_ratio_p
1;1;4;0,98
2;1;5;0,98
3;1;6;0,98
4;1;7;0,99
5;1;7,5;0,99
6;1;8;1
7;1;8,6;1,05
8;1;9;1,15
9;1;9,5;1,18
10;1;10,5;1,19
11;1;11,5;1,25
12;1,5;4;0,97
13;1,5;5;0,98
14;1,5;6;1
15;1,5;7;1
16;1,5;7,5;0,98
17;1,5;8;1,1
18;1,5;8,6;1,1
19;1,5;9;1,17
20;1,5;9,5;1,22
21;1,5;10,5;1,36
22;1,5;11,5;1,37
23;1,7;4;0,96
24;1,7;5;0,98
25;1,7;6;0,97
26;1,7;7;1
27;1,7;7,5;0,99
28;1,7;8;0,98
29;1,7;8,6;1,01
30;1,7;9;1,13
31;1,7;9,5;1,24
32;1,7;10,5;1,53
33;1,7;11,5;1,57
34;2;4;0,99
35;2;5;1
36;2;6;0,99
37;2;7;1,02
38;2;7,5;1,01
39;2;8;1,02
40;2;8,6;1,12
41;2;9;1,21
42;2;9,5;1,35
43;2;10,5;1,59
44;2;11,5;1,63
